Date,Open,High,Low,Close,Adj Close,Volume
2021-05-21,391.541565,415.706726,275.392670,326.296326,326.296326,6291181865
2021-05-22,326.797791,335.734741,285.353424,299.504089,299.504089,3871242832
2021-05-23,300.035431,313.525146,213.516464,262.945679,262.945679,5336233746
2021-05-24,261.119537,350.273102,258.622711,345.309631,345.309631,6066277282
2021-05-25,345.489838,374.597198,307.729462,344.113983,344.113983,5656677341
2021-05-26,343.531982,387.765198,337.056976,379.854309,379.854309,4502557689
2021-05-27,379.693481,387.490082,340.890839,367.655792,367.655792,3965850350
2021-05-28,369.835693,373.313232,313.723022,329.879913,329.879913,4482824807
2021-05-29,328.986847,346.923950,296.570740,305.052155,305.052155,3070017878
2021-05-30,305.042572,337.742371,292.852356,325.784027,325.784027,3246314973
2021-05-31,325.808136,355.977142,307.944031,354.329346,354.329346,3865691845
2021-06-01,353.782532,364.320129,340.474243,362.794647,362.794647,3425775257
2021-06-02,362.360870,418.665131,350.956787,401.262329,401.262329,4486850584
2021-06-03,401.760834,432.308105,392.033173,427.807922,427.807922,4370188399
2021-06-04,428.187378,428.443146,366.274841,391.395325,391.395325,4951450795
2021-06-05,390.958801,425.902740,375.067505,390.431854,390.431854,3956143113
2021-06-06,390.236725,400.041168,382.344971,393.820221,393.820221,2101917655
2021-06-07,393.654663,407.375671,355.975464,357.310211,357.310211,2927240962
2021-06-08,358.165436,365.923187,320.238007,354.001373,354.001373,4491122307
2021-06-09,352.765930,378.741364,334.419098,375.734680,375.734680,3543408536
2021-06-10,375.669006,376.950195,345.517670,352.183197,352.183197,2505012942
2021-06-11,352.084839,365.303986,341.477356,345.933685,345.933685,2269923678
2021-06-12,345.901703,348.878571,325.817719,343.741028,343.741028,2146761411
2021-06-13,344.042847,369.058044,331.111938,366.648956,366.648956,2171880359
2021-06-14,365.754700,377.018646,355.310944,368.792755,368.792755,2271215183
2021-06-15,372.736847,379.659851,363.934998,373.566162,373.566162,2246535807
2021-06-16,366.816620,366.816620,343.648560,347.033447,347.033447,1626149384
2021-06-17,347.212372,362.259399,346.037537,352.738525,352.738525,1379161855
2021-06-18,353.013367,357.074280,328.047333,336.809692,336.809692,1613940591
2021-06-19,337.552277,345.459595,332.096497,335.712830,335.712830,1140833816
2021-06-20,334.650940,340.789520,310.775879,340.067200,340.067200,1756674565
2021-06-21,341.600159,341.600159,313.723541,317.304474,317.304474,2130532608
