Date,Open,High,Low,Close,Adj Close,Volume
2021-05-21,210.935974,219.234802,157.612000,180.197037,180.197037,6827729891
2021-05-22,180.538742,184.374313,163.066498,169.594559,169.594559,5184597505
2021-05-23,169.684509,176.455734,118.642441,143.519363,143.519363,6847843143
2021-05-24,142.802643,184.143997,140.403778,183.994125,183.994125,5615445186
2021-05-25,185.037491,194.124054,168.410751,183.497894,183.497894,5221949811
2021-05-26,183.976318,204.089508,180.017197,199.224335,199.224335,4409113332
2021-05-27,199.235184,208.463501,181.087341,193.121094,193.121094,4104509375
2021-05-28,193.990540,198.486755,166.204758,177.320663,177.320663,4842770593
2021-05-29,177.378220,188.606995,158.044388,163.808105,163.808105,4442221955
2021-05-30,163.801666,180.260178,156.324417,170.978226,170.978226,3015850344
2021-05-31,170.668884,188.158997,164.009384,188.033676,188.033676,3347105582
2021-06-01,188.117554,193.004028,176.297211,182.980698,182.980698,2965166592
2021-06-02,183.002991,191.244415,178.661163,187.263977,187.263977,2808932742
2021-06-03,187.410080,197.684280,182.465225,193.086182,193.086182,2854571398
2021-06-04,193.549042,193.549042,170.019180,178.872009,178.872009,3123327190
2021-06-05,178.706223,185.433945,168.119095,173.028717,173.028717,2626658227
2021-06-06,173.146652,180.021622,172.515121,176.639435,176.639435,2250385468
2021-06-07,176.539307,182.239594,161.072800,161.732803,161.732803,2497621711
2021-06-08,162.048981,164.477448,145.668198,161.161072,161.161072,3333355082
2021-06-09,160.891312,173.045273,152.842133,172.138657,172.138657,3251347235
2021-06-10,172.478577,174.520157,162.964890,168.203064,168.203064,2639779895
2021-06-11,168.243973,173.488541,160.894699,162.880524,162.880524,2518234370
2021-06-12,162.977036,164.257019,154.388992,162.014862,162.014862,2207409008
2021-06-13,161.982590,171.519714,156.964615,170.930878,170.930878,2041213335
2021-06-14,170.854401,180.000916,166.695389,172.949097,172.949097,1960141206
2021-06-15,178.633728,181.048035,172.440735,178.659424,178.659424,2459814443
2021-06-16,175.329391,177.201004,164.995682,166.458939,166.458939,2211208641
2021-06-17,166.603317,173.251129,163.589203,167.055695,167.055695,2010202177
2021-06-18,167.234039,167.378906,152.005493,156.355637,156.355637,2163514007
2021-06-19,156.554199,160.827362,152.937836,153.295456,153.295456,1718599931
2021-06-20,153.014450,156.239182,144.315338,155.092590,155.092590,1958671063
2021-06-21,155.377029,155.377029,139.069580,139.069580,139.069580,2186695424
